,Country,EdLevel,CodingExperiance,Salary
210,United States of America,Bachelor,9.0,100000.0
212,United Kingdom of Great Britain and Northern Ireland,Bachelor,0.5,27641.0
214,United States of America,Bachelor,5.0,75000.0
218,France,Masters,15.0,85315.0
222,United States of America,Bachelor,14.0,147000.0
223,United States of America,Bachelor,2.0,172000.0
224,United Kingdom of Great Britain and Northern Ireland,Bachelor,7.0,59050.0
225,United States of America,Bachelor,14.0,101000.0
228,United States of America,less than bachelor's,9.0,120000.0
232,United States of America,less than bachelor's,19.0,160000.0
233,United States of America,Bachelor,4.0,175000.0
234,Brazil,Bachelor,3.0,42440.0
237,Canada,Bachelor,5.0,136647.0
238,Netherlands,Bachelor,37.0,62387.0
239,United States of America,less than bachelor's,46.0,100000.0
241,France,Masters,3.0,58654.0
242,Canada,less than bachelor's,0.5,46850.0
243,Germany,Masters,20.0,68252.0
245,Spain,Masters,3.0,26128.0
246,United States of America,Bachelor,5.0,75000.0
253,Netherlands,less than bachelor's,12.0,49056.0
254,Canada,less than bachelor's,3.0,75507.0
258,Poland,Masters,2.0,27756.0
260,Sweden,Masters,6.0,73140.0
261,United Kingdom of Great Britain and Northern Ireland,Bachelor,3.0,27641.0
262,Canada,Bachelor,2.0,43727.0
267,Poland,Masters,10.0,50875.0
271,United Kingdom of Great Britain and Northern Ireland,Bachelor,7.0,96742.0
273,United States of America,Bachelor,23.0,140000.0
276,United Kingdom of Great Britain and Northern Ireland,Bachelor,2.0,42089.0
277,Netherlands,Bachelor,12.0,93846.0
278,United States of America,Bachelor,2.0,67000.0
279,Brazil,Bachelor,15.0,86304.0
287,Germany,Masters,3.0,71451.0
288,United States of America,Bachelor,3.0,150000.0
290,United States of America,Bachelor,3.0,83000.0
292,Sweden,Bachelor,10.0,71916.0
294,France,Masters,5.0,34126.0
296,Canada,Masters,7.0,70276.0
297,Canada,Masters,14.0,140551.0
298,Poland,Masters,4.0,41628.0
299,United States of America,Bachelor,8.0,104000.0
302,United States of America,Bachelor,1.0,155000.0
304,United Kingdom of Great Britain and Northern Ireland,less than bachelor's,7.0,26384.0
311,Spain,less than bachelor's,15.0,49056.0
312,United States of America,Bachelor,3.0,45000.0
315,United States of America,Bachelor,2.0,130000.0
317,United States of America,Bachelor,12.0,155000.0
322,United Kingdom of Great Britain and Northern Ireland,Masters,19.0,138203.0
325,United Kingdom of Great Britain and Northern Ireland,Bachelor,4.0,75384.0
330,Canada,less than bachelor's,10.0,74180.0
331,United States of America,Bachelor,4.0,130000.0
335,United Kingdom of Great Britain and Northern Ireland,Bachelor,24.0,81666.0
337,United States of America,Bachelor,1.0,80000.0
346,Germany,less than bachelor's,1.0,44790.0
347,United States of America,Masters,0.5,100000.0
348,United States of America,Bachelor,7.0,75000.0
354,Sweden,Masters,10.0,68256.0
356,United States of America,Masters,3.0,120000.0
357,United States of America,Bachelor,20.0,160000.0
359,United States of America,PostGrad,32.0,175000.0
361,United States of America,Bachelor,11.0,150000.0
362,Sweden,less than bachelor's,7.0,60948.0
363,United States of America,less than bachelor's,14.0,120000.0
367,United States of America,Bachelor,4.0,109000.0
368,United States of America,Bachelor,4.0,70000.0
370,United States of America,less than bachelor's,13.0,150000.0
372,United States of America,Bachelor,5.0,100000.0
373,Brazil,Bachelor,19.0,74784.0
378,Italy,less than bachelor's,1.0,14460.0
381,United States of America,Bachelor,15.0,96000.0
382,United States of America,less than bachelor's,2.0,52800.0
383,United Kingdom of Great Britain and Northern Ireland,Bachelor,10.0,50256.0
385,United States of America,Bachelor,22.0,160000.0
387,United States of America,Bachelor,9.0,124000.0
388,United Kingdom of Great Britain and Northern Ireland,Masters,12.0,125639.0
390,France,Masters,5.0,44790.0
393,Netherlands,Bachelor,6.0,54384.0
394,United States of America,less than bachelor's,4.0,100000.0
397,United Kingdom of Great Britain and Northern Ireland,Bachelor,9.0,55281.0
400,France,Masters,5.0,52255.0
403,United Kingdom of Great Britain and Northern Ireland,Bachelor,7.0,56538.0
404,United States of America,Bachelor,1.0,76000.0
405,United States of America,Bachelor,8.0,115000.0
411,Germany,less than bachelor's,3.0,40956.0
419,United States of America,Bachelor,12.0,86000.0
422,United States of America,Bachelor,5.0,165000.0
426,United States of America,less than bachelor's,0.5,160000.0
427,United States of America,Masters,5.0,145000.0
429,United States of America,less than bachelor's,6.0,80000.0
431,Spain,less than bachelor's,6.0,31993.0
432,United States of America,Bachelor,3.0,96300.0
435,Germany,Bachelor,1.0,57588.0
436,United States of America,less than bachelor's,1.0,55000.0
439,United Kingdom of Great Britain and Northern Ireland,Bachelor,12.0,126142.0
440,United States of America,Bachelor,4.0,158000.0
443,United States of America,PostGrad,5.0,90000.0
445,Spain,Bachelor,10.0,25594.0
446,Spain,less than bachelor's,0.5,21329.0
447,United States of America,Bachelor,6.0,150000.0
454,United Kingdom of Great Britain and Northern Ireland,Masters,4.0,87948.0
458,Sweden,Masters,7.0,92436.0
460,United States of America,less than bachelor's,1.0,75000.0
465,United Kingdom of Great Britain and Northern Ireland,Bachelor,22.0,108050.0
466,France,Bachelor,5.0,36259.0
467,Canada,Bachelor,1.0,89016.0
468,United States of America,less than bachelor's,8.0,120000.0
469,United Kingdom of Great Britain and Northern Ireland,Bachelor,3.0,100511.0
470,United States of America,Masters,6.0,140000.0
473,Netherlands,Bachelor,2.0,42228.0
475,Australia,Bachelor,19.0,106157.0
488,United States of America,Bachelor,17.0,160000.0
490,United States of America,Masters,5.0,110000.0
493,Netherlands,Bachelor,4.0,62712.0
494,Germany,Bachelor,6.0,63986.0
496,Australia,Bachelor,1.0,67940.0
497,United Kingdom of Great Britain and Northern Ireland,Bachelor,15.0,125639.0
500,United States of America,less than bachelor's,4.0,53000.0
507,United States of America,Bachelor,3.0,72000.0
509,Canada,Bachelor,3.0,62467.0
510,United States of America,Bachelor,3.0,50000.0
512,France,Masters,9.0,106644.0
515,Canada,Bachelor,27.0,54659.0
524,United Kingdom of Great Britain and Northern Ireland,Masters,4.0,60307.0
525,India,Bachelor,13.0,30948.0
528,United Kingdom of Great Britain and Northern Ireland,Bachelor,9.0,50256.0
534,Canada,Bachelor,4.0,58563.0
536,United Kingdom of Great Britain and Northern Ireland,less than bachelor's,6.0,56538.0
543,United Kingdom of Great Britain and Northern Ireland,less than bachelor's,28.0,113075.0
547,United States of America,Bachelor,3.0,90000.0
553,United States of America,Bachelor,2.0,70000.0
554,United States of America,Bachelor,2.0,171000.0
557,France,Masters,1.0,26661.0
559,United States of America,Masters,14.0,86000.0
561,Germany,less than bachelor's,7.0,47990.0
562,United States of America,Bachelor,2.0,78000.0
563,France,less than bachelor's,5.0,72518.0
570,India,Bachelor,5.0,64486.0
571,United States of America,Bachelor,1.0,78337.0
574,Australia,less than bachelor's,10.0,81387.0
578,Canada,Bachelor,5.0,85112.0
579,Canada,less than bachelor's,2.0,50755.0
580,United States of America,Bachelor,7.0,150000.0
581,France,Masters,6.0,47990.0
583,United Kingdom of Great Britain and Northern Ireland,Bachelor,16.0,81666.0
584,Germany,Masters,14.0,170630.0
585,United States of America,Bachelor,4.0,162373.0
586,France,Masters,14.0,69318.0
587,Canada,less than bachelor's,2.0,64029.0
589,United States of America,Bachelor,1.0,55000.0
592,Netherlands,less than bachelor's,10.0,41592.0
595,United States of America,less than bachelor's,15.0,125000.0
602,United States of America,less than bachelor's,12.0,110000.0
605,United Kingdom of Great Britain and Northern Ireland,less than bachelor's,7.0,71614.0
609,United States of America,Masters,4.0,82000.0
610,United States of America,Bachelor,8.0,125000.0
611,United States of America,Bachelor,25.0,150000.0
617,United States of America,Masters,20.0,140000.0
618,United States of America,Bachelor,21.0,95000.0
621,United States of America,Bachelor,7.0,125000.0
622,United Kingdom of Great Britain and Northern Ireland,less than bachelor's,2.0,32666.0
629,Netherlands,Masters,2.0,154633.0
630,Canada,Bachelor,5.0,121030.0
632,United Kingdom of Great Britain and Northern Ireland,Bachelor,3.0,62820.0
634,Poland,Masters,12.0,77700.0
637,United Kingdom of Great Britain and Northern Ireland,Bachelor,16.0,59679.0
640,Germany,PostGrad,10.0,95979.0
642,United Kingdom of Great Britain and Northern Ireland,Masters,6.0,72243.0
643,Canada,Bachelor,15.0,117126.0
654,United Kingdom of Great Britain and Northern Ireland,Bachelor,2.0,44853.0
655,United States of America,less than bachelor's,12.0,135000.0
657,Germany,Masters,5.0,65268.0
658,United States of America,Bachelor,2.0,110000.0
660,United States of America,Bachelor,7.0,75000.0
662,Brazil,less than bachelor's,1.0,112176.0
663,United States of America,Bachelor,23.0,120000.0
665,United States of America,Bachelor,6.0,120000.0
669,Spain,PostGrad,22.0,53322.0
671,United States of America,less than bachelor's,8.0,114000.0
673,United States of America,Masters,25.0,161000.0
674,United States of America,Masters,11.0,175000.0
675,United States of America,less than bachelor's,20.0,172000.0
678,Canada,less than bachelor's,11.0,105414.0
683,Germany,less than bachelor's,3.0,63984.0
689,United States of America,Bachelor,8.0,62000.0
696,Poland,Bachelor,13.0,110000.0
698,Germany,Bachelor,11.0,69318.0
699,United Kingdom of Great Britain and Northern Ireland,Bachelor,5.0,87948.0
707,United States of America,Bachelor,2.0,75000.0
708,United Kingdom of Great Britain and Northern Ireland,Masters,2.0,41461.0
709,United States of America,Bachelor,5.0,125000.0
712,United States of America,less than bachelor's,4.0,85000.0
718,United States of America,less than bachelor's,14.0,51000.0
722,France,Masters,7.0,49908.0
723,Germany,Bachelor,7.0,110568.0
724,United States of America,less than bachelor's,6.0,120000.0
727,Canada,Bachelor,5.0,149922.0
730,United Kingdom of Great Britain and Northern Ireland,less than bachelor's,8.0,113075.0
740,United States of America,Bachelor,5.0,105000.0
747,Germany,Bachelor,5.0,95979.0
749,Spain,less than bachelor's,22.0,44790.0
751,Canada,Bachelor,8.0,166319.0
753,Brazil,less than bachelor's,34.0,13212.0
756,Spain,PostGrad,10.0,37325.0
757,United Kingdom of Great Britain and Northern Ireland,Masters,6.0,62820.0
759,United States of America,Bachelor,4.0,120000.0
763,United States of America,Bachelor,9.0,120000.0
764,United States of America,Masters,3.0,120000.0
766,Brazil,less than bachelor's,3.0,14208.0
767,United Kingdom of Great Britain and Northern Ireland,Bachelor,4.0,75384.0
773,United States of America,Bachelor,8.0,162000.0
775,United States of America,less than bachelor's,2.0,115000.0
781,United States of America,Bachelor,6.0,160000.0
782,India,Bachelor,2.0,28374.0
784,United States of America,Bachelor,12.0,160000.0
788,United Kingdom of Great Britain and Northern Ireland,Bachelor,16.0,125639.0
790,United Kingdom of Great Britain and Northern Ireland,Bachelor,3.0,55910.0
795,United States of America,less than bachelor's,13.0,88000.0
799,Netherlands,less than bachelor's,6.0,31993.0
801,Poland,Masters,9.0,69372.0
809,United Kingdom of Great Britain and Northern Ireland,less than bachelor's,20.0,87948.0
818,United States of America,PostGrad,20.0,134000.0
819,Germany,Bachelor,4.0,60040.0
820,United States of America,less than bachelor's,6.0,175000.0
828,France,Masters,4.0,38392.0
832,France,Masters,1.0,49056.0
838,United Kingdom of Great Britain and Northern Ireland,Bachelor,10.0,138203.0
839,United States of America,Bachelor,4.0,150000.0
842,United States of America,Bachelor,8.0,147000.0
843,United States of America,less than bachelor's,10.0,165000.0
845,Italy,less than bachelor's,12.0,36259.0
853,India,Masters,6.0,24118.0
854,United States of America,Bachelor,8.0,140000.0
855,United States of America,Bachelor,7.0,116000.0
857,United States of America,Bachelor,10.0,155000.0
858,United States of America,Bachelor,16.0,175000.0
860,United States of America,less than bachelor's,3.0,135000.0
868,United States of America,Bachelor,2.0,140000.0
869,Sweden,less than bachelor's,10.0,75576.0
870,United States of America,Bachelor,4.0,61000.0
877,United Kingdom of Great Britain and Northern Ireland,Masters,7.0,125639.0
878,United States of America,PostGrad,10.0,160000.0
879,United States of America,Bachelor,2.0,89000.0
883,United Kingdom of Great Britain and Northern Ireland,Bachelor,16.0,100511.0
884,United States of America,Bachelor,3.0,90000.0
887,France,Masters,2.0,30713.0
892,United States of America,less than bachelor's,7.0,62500.0
895,United States of America,Bachelor,3.0,105000.0
920,United States of America,Bachelor,6.0,80000.0
923,United Kingdom of Great Britain and Northern Ireland,Bachelor,7.0,69102.0
925,United States of America,less than bachelor's,1.0,128750.0
927,United States of America,Bachelor,3.0,170000.0
928,United States of America,less than bachelor's,8.0,125000.0
930,United States of America,Bachelor,4.0,80000.0
935,United Kingdom of Great Britain and Northern Ireland,less than bachelor's,3.0,45858.0
939,United States of America,less than bachelor's,4.0,170000.0
940,Sweden,less than bachelor's,35.0,65820.0
941,India,Bachelor,8.0,77383.0
943,United States of America,less than bachelor's,4.0,100000.0
947,United States of America,Bachelor,0.5,120000.0
950,United States of America,Bachelor,2.0,165000.0
954,United Kingdom of Great Britain and Northern Ireland,less than bachelor's,25.0,163331.0
958,Australia,PostGrad,20.0,99080.0
959,India,Bachelor,6.0,51589.0
966,United States of America,less than bachelor's,3.0,95000.0
968,France,Bachelor,18.0,33603.0
969,Poland,Bachelor,3.0,31908.0
970,United States of America,less than bachelor's,9.0,81000.0
976,United States of America,Masters,0.5,105000.0
977,United Kingdom of Great Britain and Northern Ireland,Bachelor,2.0,37692.0
979,United States of America,Bachelor,10.0,175000.0
981,Netherlands,Bachelor,6.0,83184.0
984,United States of America,Bachelor,6.0,120000.0
988,Spain,Masters,7.0,69318.0
995,United States of America,Bachelor,5.0,160000.0
998,United States of America,Bachelor,11.0,145000.0
1003,Germany,Masters,4.0,85315.0
1004,France,Masters,18.0,92136.0
1005,United States of America,Bachelor,3.0,82000.0
1022,Germany,Masters,6.0,111976.0
1023,Canada,Bachelor,3.0,55830.0
1024,Germany,Bachelor,3.0,89581.0
1030,Canada,Bachelor,5.0,117126.0
1036,United States of America,Bachelor,20.0,112000.0
1038,United States of America,Bachelor,11.0,90000.0
1040,United States of America,Bachelor,16.0,130000.0
1041,United States of America,Bachelor,10.0,122500.0
1043,United States of America,Bachelor,4.0,91000.0
1044,Sweden,Masters,6.0,52104.0
1049,United States of America,Masters,7.0,150000.0
1051,United States of America,Bachelor,0.5,120000.0
1068,Italy,Bachelor,2.0,117308.0
1069,Canada,Bachelor,17.0,101509.0
1070,United States of America,Masters,3.0,92000.0
1074,United States of America,Masters,7.0,95000.0
1076,United States of America,less than bachelor's,0.5,45000.0
1078,Germany,Bachelor,2.0,16632.0
1082,Spain,Bachelor,10.0,35192.0
1083,United Kingdom of Great Britain and Northern Ireland,Masters,0.5,43974.0
1084,Canada,Bachelor,6.0,81988.0
1086,Germany,less than bachelor's,2.0,49908.0
1088,United States of America,Masters,16.0,140000.0
1090,United Kingdom of Great Britain and Northern Ireland,Bachelor,5.0,113075.0
1091,United States of America,Bachelor,1.0,110000.0
1097,United States of America,less than bachelor's,10.0,100000.0
1100,United States of America,Bachelor,5.0,85000.0
1102,United Kingdom of Great Britain and Northern Ireland,Bachelor,4.0,113075.0
1104,United States of America,Bachelor,8.0,165000.0
1106,Brazil,Masters,10.0,110000.0
1108,Brazil,PostGrad,7.0,32412.0
1109,United States of America,less than bachelor's,22.0,120000.0
1111,United States of America,Bachelor,3.0,85000.0
1112,Netherlands,Masters,0.5,42657.0
1118,United States of America,Bachelor,24.0,130000.0
1119,Canada,Masters,11.0,100000.0
1120,United States of America,Bachelor,2.0,140000.0
1124,Poland,Bachelor,3.0,33300.0
1129,United States of America,Bachelor,4.0,130000.0
1130,Sweden,Masters,22.0,73140.0
1131,Brazil,less than bachelor's,17.0,37392.0
1132,India,Masters,3.0,64486.0
1137,United States of America,less than bachelor's,4.0,170000.0
1138,Sweden,Masters,3.0,63384.0
1141,United States of America,Bachelor,7.0,170000.0
1145,United States of America,Masters,6.0,115000.0
1154,United States of America,Bachelor,7.0,100000.0
1155,United States of America,Masters,2.0,151000.0
1156,France,Masters,6.0,42231.0
1157,Canada,Bachelor,0.5,48998.0
1162,United States of America,Bachelor,7.0,159000.0
1163,Canada,Bachelor,1.0,54020.0
1168,United States of America,Bachelor,3.0,140000.0
1170,United States of America,Bachelor,10.0,115000.0
1171,United States of America,Bachelor,9.0,55000.0
1174,United States of America,Bachelor,4.0,70000.0
1176,United States of America,Masters,32.0,170000.0
1177,United States of America,Bachelor,10.0,155000.0
1179,United States of America,Bachelor,3.0,155000.0
1181,United States of America,Bachelor,2.0,100000.0
1183,United States of America,Bachelor,2.0,90000.0
1185,United States of America,Bachelor,4.0,150000.0
1186,United States of America,Bachelor,20.0,115500.0
1187,Italy,less than bachelor's,0.5,20472.0
1188,Canada,Bachelor,2.0,70276.0
1193,United States of America,Bachelor,7.0,140000.0
1195,United Kingdom of Great Britain and Northern Ireland,Bachelor,6.0,109826.0
1197,United States of America,Bachelor,2.0,100000.0
1201,Sweden,less than bachelor's,16.0,91416.0
1212,United States of America,Bachelor,37.0,126000.0
1214,Italy,Masters,8.0,47990.0
1217,United States of America,Bachelor,5.0,155000.0
1220,United Kingdom of Great Britain and Northern Ireland,Bachelor,6.0,65332.0
1221,United Kingdom of Great Britain and Northern Ireland,less than bachelor's,10.0,62820.0
1224,Canada,PostGrad,7.0,136647.0
1228,United States of America,Bachelor,5.0,66000.0
1229,United States of America,Bachelor,5.0,90000.0
1230,France,Masters,2.0,38388.0
1231,Canada,Bachelor,22.0,106975.0
1233,Canada,Bachelor,12.0,78084.0
1234,Canada,Bachelor,18.0,105414.0
1235,France,Masters,4.0,66119.0
1238,United Kingdom of Great Britain and Northern Ireland,Bachelor,6.0,100511.0
1240,Netherlands,Bachelor,2.0,39672.0
1246,Brazil,Bachelor,3.0,24429.0
1252,United States of America,Bachelor,19.0,130000.0
1254,India,Bachelor,0.5,21925.0
1255,Canada,Bachelor,9.0,71027.0
1259,United Kingdom of Great Britain and Northern Ireland,Bachelor,0.5,43974.0
1264,United States of America,Bachelor,6.0,55000.0
1267,Germany,less than bachelor's,10.0,101312.0
1274,Spain,less than bachelor's,3.0,37325.0
1279,Canada,Bachelor,5.0,67152.0
1280,Sweden,Bachelor,6.0,85320.0
1284,United States of America,Bachelor,5.0,88000.0
1286,United States of America,PostGrad,7.0,167000.0
1293,United States of America,Bachelor,3.0,73000.0
1297,Germany,Bachelor,2.0,54388.0
1299,United States of America,less than bachelor's,10.0,165000.0
1303,United States of America,Bachelor,0.5,94000.0
1304,Canada,Bachelor,2.0,70276.0
1308,United States of America,Bachelor,4.0,120000.0
1309,Germany,less than bachelor's,22.0,59724.0
1313,Netherlands,Bachelor,3.0,53322.0
1317,United Kingdom of Great Britain and Northern Ireland,Masters,6.0,64076.0
1318,Canada,Bachelor,6.0,78084.0
1322,United Kingdom of Great Britain and Northern Ireland,Masters,2.0,52769.0
1323,United States of America,Bachelor,2.0,107350.0
1324,United States of America,Bachelor,2.0,86000.0
1329,United States of America,Bachelor,5.0,115000.0
1330,Canada,less than bachelor's,4.0,51536.0
1331,United Kingdom of Great Britain and Northern Ireland,Bachelor,7.0,100511.0
1336,United States of America,Bachelor,0.5,89000.0
1338,United States of America,Bachelor,6.0,125000.0
1342,United Kingdom of Great Britain and Northern Ireland,PostGrad,25.0,124383.0
1343,Germany,Masters,4.0,37116.0
1358,Sweden,Masters,15.0,63384.0
1359,India,Masters,5.0,11208.0
1361,United States of America,less than bachelor's,1.0,65000.0
1362,France,Masters,4.0,38388.0
1363,India,Masters,1.0,60000.0
1365,United States of America,Bachelor,2.0,145000.0
1367,India,Bachelor,4.0,137355.0
1369,United States of America,Masters,12.0,113000.0
1370,Canada,Bachelor,13.0,101509.0
1374,Sweden,less than bachelor's,6.0,60948.0
1378,Canada,Bachelor,4.0,52316.0
1383,United States of America,Bachelor,3.0,110000.0
1387,Germany,Bachelor,3.0,80623.0
1394,United States of America,Bachelor,5.0,110000.0
1400,Poland,less than bachelor's,1.0,23592.0
1403,United States of America,Bachelor,15.0,100000.0
1404,Australia,less than bachelor's,5.0,99080.0
1405,Germany,Bachelor,2.0,67186.0
1406,France,Masters,3.0,49056.0
1407,United States of America,Bachelor,3.0,100000.0
1408,United States of America,Bachelor,1.0,104750.0
1410,Germany,Masters,5.0,63986.0
1416,Sweden,Bachelor,3.0,54852.0
1418,United States of America,Masters,14.0,140000.0
1420,Sweden,Bachelor,10.0,61056.0
1426,India,Bachelor,0.5,10318.0
1437,France,Masters,18.0,76783.0
1438,United States of America,Bachelor,7.0,100000.0
1439,Italy,less than bachelor's,4.0,31992.0
1443,United States of America,less than bachelor's,6.0,125000.0
1446,United States of America,Bachelor,6.0,160000.0
1448,France,Masters,8.0,66119.0
1449,United States of America,Bachelor,5.0,123141.0
1450,United Kingdom of Great Britain and Northern Ireland,less than bachelor's,7.0,81666.0
1454,Sweden,Masters,7.0,60948.0
1456,United States of America,Bachelor,4.0,70000.0
1461,United States of America,less than bachelor's,18.0,170000.0
1464,Canada,Bachelor,4.0,71681.0
1467,Germany,Masters,2.0,66119.0
1469,United States of America,Bachelor,0.5,80000.0
1471,India,Bachelor,4.0,38692.0
1473,France,Masters,1.0,42657.0
1474,Poland,Bachelor,6.0,27750.0
1481,United States of America,Masters,4.0,102000.0
1484,United States of America,PostGrad,4.0,110000.0
1486,United States of America,Bachelor,9.0,115000.0
1488,Brazil,Masters,5.0,14952.0
1491,United States of America,less than bachelor's,11.0,83000.0
1493,Sweden,less than bachelor's,2.0,43884.0
1496,France,Masters,10.0,164000.0
1497,United States of America,Bachelor,4.0,128000.0
1501,United States of America,less than bachelor's,23.0,165000.0
1509,France,PostGrad,0.5,20220.0
1522,France,less than bachelor's,11.0,63986.0
1524,United States of America,Bachelor,23.0,105000.0
1525,United States of America,Bachelor,0.5,65000.0
1527,United States of America,Masters,3.0,165000.0
1528,United States of America,Bachelor,0.5,74000.0
1532,United Kingdom of Great Britain and Northern Ireland,less than bachelor's,25.0,46487.0
1541,United States of America,Bachelor,10.0,151000.0
1542,United Kingdom of Great Britain and Northern Ireland,Bachelor,0.5,32666.0
1546,United States of America,Masters,10.0,160000.0
1547,United States of America,Bachelor,6.0,130000.0
1548,United States of America,Bachelor,20.0,150000.0
1557,Germany,Masters,2.0,56304.0
1567,United States of America,Bachelor,4.0,163500.0
1568,Netherlands,Masters,20.0,91714.0
1577,United States of America,Bachelor,9.0,130000.0
1590,Germany,less than bachelor's,7.0,74651.0
1594,United States of America,Bachelor,14.0,175000.0
1596,Netherlands,Bachelor,5.0,44232.0
1599,United States of America,less than bachelor's,3.0,65000.0
1601,Germany,Masters,3.0,53322.0
1602,United States of America,Bachelor,11.0,130000.0
1610,United States of America,Bachelor,6.0,160000.0
1611,Brazil,Masters,17.0,102204.0
1613,Netherlands,Bachelor,7.0,63986.0
1615,United States of America,less than bachelor's,0.5,95000.0
1617,United Kingdom of Great Britain and Northern Ireland,Bachelor,18.0,103024.0
1620,Germany,Masters,12.0,69318.0
1622,United States of America,Bachelor,2.0,62000.0
1627,United Kingdom of Great Britain and Northern Ireland,Masters,0.5,125639.0
1630,Canada,Bachelor,5.0,70276.0
1633,United States of America,Bachelor,15.0,68000.0
1638,Germany,Masters,7.0,79983.0
1639,Germany,Masters,2.0,58872.0
1640,United Kingdom of Great Britain and Northern Ireland,Masters,5.0,50256.0
1643,United States of America,less than bachelor's,12.0,130000.0
1647,Poland,Bachelor,15.0,111000.0
1649,United States of America,less than bachelor's,6.0,60000.0
1650,United Kingdom of Great Britain and Northern Ireland,PostGrad,0.5,52764.0
1654,Sweden,less than bachelor's,5.0,62412.0
1658,United States of America,Bachelor,10.0,70000.0
1660,Germany,Masters,6.0,47990.0
1669,United States of America,Bachelor,5.0,120000.0
1671,Germany,less than bachelor's,7.0,63984.0
1672,Canada,Bachelor,4.0,92334.0
1686,Canada,Bachelor,3.0,62467.0
1687,United States of America,less than bachelor's,2.0,130000.0
1690,Canada,Bachelor,4.0,101509.0
1695,Germany,Masters,2.0,36492.0
1703,United States of America,Bachelor,10.0,165000.0
1704,United States of America,Masters,11.0,151992.0
1706,United States of America,less than bachelor's,38.0,105000.0
1707,United States of America,Masters,1.0,110000.0
1708,United Kingdom of Great Britain and Northern Ireland,Masters,2.0,43974.0
1709,Netherlands,less than bachelor's,5.0,69318.0
1710,United States of America,Bachelor,13.0,73000.0
1715,Sweden,less than bachelor's,22.0,79236.0
1718,United States of America,Masters,9.0,135000.0
1720,France,PostGrad,17.0,106644.0
1722,United States of America,Bachelor,3.0,154000.0
1723,Canada,Bachelor,3.0,101509.0
